Genres,ReleaseDate,UserId,PlaytimeForever
Action,1983,76561197966936422,993
Action,1984,tankmannz,354
Action,1988,DownSyndromeKid,664
Action,1989,starfleetbrat,494
Action,1990,76561198041356854,1424
Action,1991,76561198056997935,2283
Action,1992,76561198041127602,605
Action,1993,carmeloaiello84,63
Action,1993,spooke512,1812
Action,1994,Cow666,5539
Action,1994,Prankzter,1423
Action,1994,archy18,957
Action,1994,casban,972
Action,1994,de_reyals,81
Action,1995,CorporalDucky,10192
Action,1995,Steamified,14670
Action,1996,76561198058230663,345
Action,1996,Steamified,7478
Action,1996,de_reyals,75
Action,1997,76561197972166311,2632
Action,1997,76561198036455045,1182
Action,1997,cywabcoylttdtabistsiaeyclalumb,2326
Action,1997,samemint,6679
Action,1998,76561198010579748,1274
Action,1998,DownSyndromeKid,76899
Action,1998,Lickidactyl,4965
Action,1999,76561197987766332,141467
Action,1999,76561197992474051,26
Action,1999,76561198062915082,27381
Action,2000,76561197984733626,5941
Action,2000,76561197990613796,2317
Action,2000,76561198061559559,3118
Action,2000,jiumohoo,356217
Action,2001,DownSyndromeKid,79759
Action,2001,aaaarrrghhhh,11101
Action,2002,76561198038932396,12715
Action,2002,76561198060025649,4736
Action,2003,Cow666,69780
Action,2003,shinomegami,2654410
Action,2004,76561197977470391,493791
Action,2004,vonravend,7170
Action,2005,76561198096469253,4780
Action,2005,DownSyndromeKid,80771
Action,2005,merodoc,64158
Action,2006,76561198065037494,4703
Action,2006,76561198092703325,47445
Action,2006,stopgovtcorruption,469016
Action,2006,tankedout,214202
Action,2007,76561198006225175,910
Action,2007,76561198138586856,136780
Action,2007,Sp3ctre,109103
Action,2008,76561198039742603,39846
Action,2008,SuNNZ,189805
Action,2009,76561197961702279,366892
Action,2009,76561197995333910,27428
Action,2009,76561198017586284,32954
Action,2009,Seaeco,88724
Action,2009,shinomegami,61840
Action,2010,756755557153145,625094
Action,2010,76561198065322400,70344
Action,2010,NedSilver,175066
Action,2011,76561198021534556,128428
Action,2011,poedgirl,1225476
Action,2011,thiefofrosesinlalaland,739194
Action,2012,76561198065902279,126519
Action,2012,Bballguy111,204182
Action,2012,Evilutional,4447065
Action,2012,belial2592,105914
Action,2012,stopgovtcorruption,134243
Action,2013,76561197978756659,897573
Action,2013,laumir,813434
Action,2014,qqmp,1026156
Action,2015,76561198046914681,542218
Action,2015,express157,238542
Action,2016,76561197979956729,74632
Action,2016,76561198013600577,66610
Action,2016,76561198071116663,540888
Action,2016,76561198146831507,205240
Action,2017,76561198070643441,7411
Action,2017,76561198074736789,1060445
Action,2017,76561198075582003,293728
Action,2017,76561198096678177,117788
Action,2017,Kaj3n,6775
Action,2017,Steamified,7999
Action,2017,smegmyfoodle,92885
Action,2018,Cydran,21
Action,2018,thugnificent,1026
Adventure,1983,76561197966936422,993
Adventure,1984,tankmannz,354
Adventure,1987,76561197967174031,4222
Adventure,1987,76561198033986892,78
Adventure,1988,DownSyndromeKid,664
Adventure,1988,comquack,30712
Adventure,1989,76561198014848587,7760
Adventure,1989,starfleetbrat,494
Adventure,1990,Rhysy2706,568
Adventure,1990,jawdoe,596
Adventure,1991,76561198056997935,2283
Adventure,1991,phrostb,0
Adventure,1992,76561198007165405,860
Adventure,1992,76561198041127602,605
Adventure,1992,karlmarx420,1264
Adventure,1992,madmolly,2727
Adventure,1993,shinomegami,17644
Adventure,1993,spooke512,1812
Adventure,1994,Steamified,3522
Adventure,1994,casban,972
Adventure,1995,alyboxie,871
Adventure,1996,NGPriest,15238
Adventure,1996,Steamified,7478
Adventure,1997,76561198055348490,6410
Adventure,1997,76561198058713642,3095
Adventure,1998,Snickerbones,4304
Adventure,1999,76561198068210776,848
Adventure,2000,76561197990613796,2317
Adventure,2000,shinomegami,93436
Adventure,2001,76561197992892048,6837
Adventure,2001,76561198068210776,1460
