ItemName,total_sentiment_analysis,YearPosted
//N.P.P.D. RUSH//- The milk of Ultraviolet,1,2015
0RBITALIS,1,2014
"10,000,000",3,2015
100% Orange Juice,12,2015
100% Orange Juice - Krila & Kae Character Pack,1,2016
1001 Spikes,1,2014
12 Labours of Hercules,3,2015
12 Labours of Hercules II: The Cretan Bull,2,2016
12 is Better Than 6,1,2016
140,6,2014
18 Wheels of Steel: Extreme Trucker,1,2016
200% Mixed Juice!,1,2015
2064: Read Only Memories,1,2016
20XX,2,2015
3079 -- Block Action RPG,3,2013
3089 -- Futuristic Action RPG,4,2014
3D Ultra™ Minigolf Adventures,1,2011
3DMark,2,2015
3DMark Fire Strike benchmarks,1,2016
3DRPG,1,2016
404Sight,5,2015
60 Seconds!,4,2016
6180 the moon,2,2014
8-Bit Armies,1,2016
8-Bit Hordes,1,2016
8BitBoy™,1,2015
8BitMMO,23,2013
9.03m,3,2014
911: First Responders®,4,2016
99 Spirits,1,2014
A Bird Story,12,2015
A Lenda do Herói - O Herói desta Canção,2,2016
A Story About My Uncle,13,2016
A Study in Steampunk: Choice by Gaslight,1,2015
A Virus Named TOM,2,2014
A Wizard's Lizard,1,2015
A.R.E.S.: Extinction Agenda,2,2014
A.V.A. Alliance of Valiant Arms™,4,2013
ABZU,4,2016
ACE - Arena: Cyber Evolution,2,2014
ACE Academy,2,2015
AGFPPROV3 Premium,1,2015
AI War: Fleet Command,3,2014
AKIBA'S TRIP: Undead ＆ Undressed,6,2015
ALPAGES : THE FIVE BOOKS,1,2016
APB Reloaded,98,2014
APOX,1,2011
ARK: Scorched Earth - Expansion Pack,3,2016
ARK: Survival Evolved,227,2016
ARK: Survival Of The Fittest,6,2016
ARMA: Cold War Assault,7,2016
ARMA: Gold Edition,1,2015
ASRECorp,1,2016
AXYOS,1,2015
AaAaAA!!! - A Reckless Disregard for Gravity,2,2011
Absolute Drift,7,2015
Ace Combat Assault Horizon - Enhanced Edition,4,2014
Ace of Spades: Battle Builder,92,2015
Act of Aggression - Reboot Edition,1,2016
Action Henk,1,2015
Action! - Gameplay Recording and Streaming,3,2014
Actual Sunlight,1,2014
AdVenture Capitalist,123,2015
AdVenture Communist,2,2016
Adorables,1,2016
Advent Rising,1,2014
Adventure Time: Finn and Jake Investigations,1,2016
Adventure Time: Finn and Jake's Epic Quest,1,2014
Adventures of Shuggy,2,2014
Aeon Command,2,2014
Aero's Quest,2,2015
Aerofly FS 1 Flight Simulator,1,2014
Agarest: Generations of War,4,2015
