YearPosted,ItemId,CountSentiment,Developer
2011,440,1,Valve
2011,18700,2,Broken Rules
2011,63940,1,1C Company
2011,91310,1,
2011,105400,1,
2012,440,1,Valve
2012,42680,1,
2012,42920,1,NeoCoreGames
2012,55110,1,Volition
2012,202970,1,Treyarch
2012,209100,1,Slant Six Games
2013,240,1,Valve
2013,440,8,Valve
2013,550,1,Valve
2013,730,2,Valve
2013,1670,1,Strategy First
2013,1840,1,Valve
2013,4000,1,Facepunch Studios
2013,6100,1,
2013,9180,1,id Software
2013,9200,1,id Software
2013,10180,1,"Infinity Ward,Aspyr (Mac)"
2013,10680,1,Rebellion
2013,11020,1,Nadeo
2013,12210,2,
2013,12470,1,Ascaron Entertainment ltd.
2013,17020,1,
2013,17410,1,DICE
2013,21100,1,Day 1 Studios
2013,22330,1,Bethesda Game Studios
2013,24240,1,OVERKILL Software
2013,24780,1,"EA - Maxis,Aspyr (Mac)"
2013,34330,1,
2013,34830,1,City Interactive
2013,35460,1,Teotl Studios
2013,42680,3,
2013,47790,1,Electronic Arts
2013,48180,1,
2013,49540,1,
2013,51100,5,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2013,56400,1,
2013,70000,1,800 North and Digital Ranch
2013,91310,1,
2013,91700,1,Streum On Studio
2013,99100,1,Bedlam Games
2013,102700,1,Red Duck Inc.
2013,105400,2,
2013,109400,1,
2013,113200,1,Edmund McMillen and Florian Himsl
2013,113400,1,Reloaded Productions
2013,201070,1,Dark Artz Entertainment
2013,201870,1,
2013,202170,2,United Front Games
2013,203160,1,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)"
2013,205080,1,Gaijin Games
2013,206210,1,"Monolith Productions, Inc."
2013,207230,1,CodeBrush Games
2013,208460,1,BlueGiant Interactive
2013,209080,1,Muse Games
2013,209160,7,Infinity Ward
2013,210770,1,Coffee Stain Studios
2013,211400,1,"Tequila Works, S.L."
2013,211500,1,Sector3 Studios
2013,212180,2,
2013,214700,1,Blendo Games
2013,214950,2,Creative Assembly
2013,215120,1,Gravity Interactive
2013,215470,1,Lukewarm Media
2013,216250,1,
2013,218230,1,Daybreak Game Company
2013,219640,1,Torn Banner Studios
2013,219680,1,Ed Key and David Kanaga
2013,219870,1,
2013,220050,1,
2013,220240,3,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
2013,221100,1,Bohemia Interactive
2013,221640,3,Terry Cavanagh
2013,222480,1,Capcom
2013,224260,2,No More Room in Hell Team
2013,224540,4,Jagex Limited
2013,224580,1,Bohemia Interactive
2013,225260,1,Double Fine Productions
2013,226700,5,
2013,227680,2,
2013,230410,1,Digital Extremes
2013,230700,1,NIGORO
2013,232810,1,
2013,232910,1,Nadeo
2013,233840,1,Team17 Digital Ltd
2013,234330,1,Demiurge Studios
2013,235400,1,Nival
2013,236510,1,
2013,238430,1,"Monochrome, Inc"
2013,240380,1,
2013,241540,1,Undead Labs
2013,242700,1,"NetherRealm Studios,High Voltage Software"
2013,242860,1,"M2H,Blackmill Games"
2013,247730,1,Phosphor Games Studio
2013,250580,1,Digerati Distribution
2013,252490,1,Facepunch Studios
2013,255500,1,
2013,256410,1,
2013,259080,1,Avalanche Studios
2013,261980,5,Andrii Vintsevych
2014,20,1,Valve
2014,220,3,Valve
2014,240,2,Valve
2014,360,1,Valve
2014,380,1,Valve
2014,440,11,Valve
2014,550,5,Valve
2014,630,1,Valve
2014,730,30,Valve
2014,1250,2,Tripwire Interactive
2014,1520,1,Introversion Software
2014,1840,1,Valve
2014,2400,1,Outerlight Ltd.
2014,2570,1,Freegamer
2014,2870,6,Egosoft
2014,4000,12,Facepunch Studios
2014,4500,1,GSC Game World
2014,4920,1,Unknown Worlds Entertainment
2014,6060,1,Pandemic Studios
2014,6550,1,"CAPCOM Co., Ltd."
2014,6870,1,Eidos Interactive
2014,7520,1,Reality Pump Studios
